window_index,window_start_utc,window_stop_utc,window_start_local,window_stop_local,sensor_index,name,latitude,longitude,baseline_pm25,baseline_ok,n_hours,pm25_mean,pm25_max,enhancement_mean,enhancement_pos_mean,enhancement_pos_max,humidity_mean,window_label_utc,window_label_local
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,66169,End of Echo Drive,37.142715,-121.97199,1.3,True,3,5.333333333333333,7.2,4.033333333333334,4.033333333333334,5.9,33.666666666666664,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,66185,SanMiguelCyn / TwinLakes Dr,36.87375,-121.689995,5.0,True,3,8.966666666666667,16.9,3.966666666666667,4.0,11.9,46.333333333333336,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,66355,Carmel Valley Ranch,36.5185,-121.79684,3.0,True,3,5.366666666666667,7.8,2.3666666666666667,2.433333333333333,4.8,38.666666666666664,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,67193,Crest Lane Outdoors,36.91816,-121.83805,6.25,True,3,5.433333333333334,5.5,-0.8166666666666664,0.0,0.0,33.666666666666664,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,67323,LV outside,36.996357,-121.874214,1.7000000000000002,True,3,5.366666666666667,8.8,3.6666666666666665,3.6666666666666665,7.1000000000000005,37.666666666666664,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,67349,Fontenay Villa,37.08076,-121.97402,1.45,True,3,2.6666666666666665,5.5,1.2166666666666666,1.3499999999999999,4.05,28.333333333333332,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,67379,Roof,36.973373,-121.90826,7.4,True,3,10.966666666666667,12.7,3.5666666666666664,3.5666666666666664,5.299999999999999,34.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,67465,Agrinemsors - outside,36.46259,-121.729294,1.25,True,3,2.3333333333333335,4.4,1.0833333333333333,1.2,3.1500000000000004,31.333333333333332,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,67477,MH outside,36.968086,-122.03695,9.9,True,3,8.366666666666667,11.5,-1.5333333333333339,0.5333333333333332,1.5999999999999996,30.666666666666668,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,67817,CBS_SV,36.55621,-121.91748,2.3,True,3,7.166666666666667,7.8,4.866666666666667,4.866666666666667,5.5,32.333333333333336,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,68057,SCT Outside,36.43751,-121.79037,0.3,True,3,1.1333333333333335,2.5,0.8333333333333334,0.8666666666666667,2.2,32.333333333333336,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,68117,Lynwood Place (Outside),36.94366,-121.797195,8.25,True,3,12.333333333333334,18.9,4.083333333333333,5.266666666666667,10.65,35.666666666666664,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,68515,Lower Beatty,37.204376,-122.077896,0.1,True,1,1.8,1.8,1.7,1.7,1.7,26.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,68533,N.H. Hatton Road,36.54794,-121.9143,2.3,True,3,7.933333333333334,8.4,5.633333333333334,5.633333333333334,6.1000000000000005,24.333333333333332,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
