sensor_index,count,min,median,max,mean,std,gt250_frac,gt500_frac,gt1000_frac,name,latitude,longitude,remove_reason
195861,264,1.1,11.25,41.5,12.20340909090909,6.763856902465289,0.0,0.0,0.0,Santa Cruz California St,36.966747,-122.034424,
196279,171,0.9,8.3,44.3,11.22982456140351,8.81160261004067,0.0,0.0,0.0,Chartwell School,36.63665,-121.80296,
196427,264,0.5,9.05,28.1,9.915909090909091,5.488381500023752,0.0,0.0,0.0,Outside the pain cave,36.973625,-122.035675,
196433,264,0.1,4.0,27.7,5.159090909090909,4.718605751178003,0.0,0.0,0.0,Del Mesa Carmel,36.542767,-121.87376,
196445,264,0.6,8.45,47.9,11.378409090909091,8.949925532714435,0.0,0.0,0.0,ConcordCourtMarina,36.67211,-121.79088,
196803,161,0.6,10.6,728.1,57.5583850931677,107.99363092273441,0.055900621118012424,0.006211180124223602,0.0,Ohlone,36.46592,-121.79565,
197591,264,0.0,1.0,36.1,2.5375,4.123086605432093,0.0,0.0,0.0,Bear Creek Road,37.170845,-122.05572,
198223,264,0.2,6.0,30.2,6.743939393939394,4.698826931930659,0.0,0.0,0.0,Walnut + King,36.973297,-122.03977,
198861,264,0.8,9.55,39.9,11.86590909090909,8.308883235145277,0.0,0.0,0.0,Spruce St,36.9795,-121.91929,
209511,264,0.3,35.05,101.9,34.21477272727273,20.22647367215818,0.0,0.0,0.0,Keller Drive,37.13154,-122.109795,
219125,264,0.3,12.100000000000001,2123.1,346.72727272727275,713.7099986290677,0.18181818181818182,0.18181818181818182,0.17803030303030304,Football stadium,36.83766,-121.404106,repeated_extreme_spikes
